web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582055073-98","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SDkuki","Super Telefon","16. Januar 2020","Mehr muss ein schnurloses Telefon nicht können. Top Preis Leistung. Haptik ist einfach aber nicht billig. Technisch absolut in Ordnung. Keine unnötig überladenen Sonderfunktionen und Schnickschnack. Einfach zu bedienen. Was evtl. den einen oder anderen fehlt ist ein Gürtelclip. Das rote blinken bei verpassten anrufen könnte auch etwas stärker ausgeprägt sein. Aber das ist für mich nix negativ","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1582055039-8","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dirk Marburg","Tolles DECT-Telefon in Zusammenarbeit mit FreitzBox 7490","26. April 2018","Habe mir zwei dieser Telefone bestellt, da ich auf IP-Telefonie mit Fritzbox 7490 umgestellt habe. Die Geräte ließen sich einfach mit der Fritzbox als Basisstation verbinden, Das zentral geführte Telefonbuch ließ einfach in das Telefon übertragen.
Leider kann man zu den Klingeltönen keine weiteren Töne hinzufügen. Mir persönlich macht das nichts aus, aber für meine Frau war es ""ein Drama"", sich an einen anderen Ton zu gewöhnen.

Klare Kaufempfehlung","5,0 von 5 Sternen","",""
"1582055157-367","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Kunde","Schnell geliefert","9. August 2019","Super Qualität","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&reviewerType=all_reviews"
"1582055132-284","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","bastian schwinn","Ganz klare Kaufempfehlung","24. Juni 2018","Die Verbindung mit der Fritzbox 7490 funktioniert einwandfrei und ist kinderleicht.
Das Telefon hat ein sehr gutes Farbdisplay.
Die Bedienung wirft keine Schwierigkeiten auf.
Die Sprachqualität ist viel besser als bei analogen Geräten.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1582055081-113","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Memo","Gut","22. März 2018","Auch für ältere Menschen ist das Telefon in ordnung. Tasten sind toll, Klingeltöne Naja - einer ist erträglich, die anderen sind zum aufjaulen lassen des Hundes gut ... Super Feature: das Telefon ist Strahlungsarm, es kann so eingestellt werden das praktisch keine Strahlung stattfindet wenn es im Standby ist. Dafür volle Punkte!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1582055124-260","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jürgen Muszeika","Einfach Zufrieden","30. September 2019","Preis und Leistung stimmen hier. Bin gerne wieder Kunde.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1582055187-437","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","harald lechenbauer","lieferzeit","21. August 2019","kam sogar 1 tag früher.habe es leider noch nicht installiert.wird schon funktionieren :-)","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&reviewerType=all_reviews"
"1582055099-174","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Arthura","Zusammenarbeit mit der Fritzbox 7490 nicht zufriedenstellend","23. Juni 2019","Eingesetzt an einer Fritzbox 7490 als Ersatz für ein altes Gigaset Gerät.
Zeitweise werden von dem Gerät ankommende Gespräche nur kurz erfasst.
Das Gerät klingelt 1x und es kommt keine Verbindung zustande, während die anderen Gräte weiter klingeln .
Bis man das 2te Gerät (FritzFon) erreicht, hat der Teilnehmer aufgelegt.
Fehler nicht reproduzierbar.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1582055064-70","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","hinmona58","Gigaset C430HX","21. April 2018","Gerät kam wie bei Amazon gewohnt sehr schnell
Die Geräte sehen optisch gut aus, funktionieren einwandfrei und das Preis/Leistungsverhältnis ist sehr gut.
Die Geräte haben eine gute Sprachqualität, waren schnell eingerichtet und haben eine sehr gute Akku-Laufzeit.
Das Telefon ist meiner Meinung nach zu 100% zu empfehlen","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1582055049-29","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Bernd","Zufrieden mit den Telefonen.","20. Januar 2020","Es gab keine Probleme bei der Anmeldung an der Fritzbox, alles funktionierte sofort. Den Namen der Mobilteile kann man in der Box einstellen, ebenso wie den Klang des Gesprächstones über den Equaliser in der Box. Ich lege nach Gesprächen das Mobilteil auch nicht in die Ladeschale, es steht oder liegt auch sicher daneben, um eine lange Ackulebensdauer zu gewärhrleisten sollte man auch mal selbigen etwas entladen. Das kann auch schon mal einige Tage dauern. Den Ladezustand kann man ja durch drücken der roten Auflegetaste kontrollieren dort wir er angezeigt. Dieses Training tut dem Acku richtig gut.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-C430HX-Universal-Mobilteil-Basisstationen-schwarz-silber-schwarz/product-reviews/B01BI8HG5Y/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
