web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582057403-3954","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","fewa","Die Software ist toll, die Hardware hat Mängel.","31. Mai 2018","Ich habe mir für das Büro zwei FRITZ!Fon gekauft. Die sind Toll. Die Tasten sind aus Metall und lassen sich einwandfrei bedienen.
Die jetzt gekauften Geräte haben Kunststofftasten. Es ist nicht möglich sauber eine Nummer einzugeben. Oft werden Nummern doppelt eingegeben oder auch garnicht. Die ist auf beiden Geräten der Fall und scheint deshalb kein Einzelfall zu sein. Ich hatte noch keine Zeit die Geräte zurückzusenden. Werde dies aber noch tun.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=critical&pageNumber=4&reviewerType=all_reviews","null"
"1582057416-4006","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Sascha Gruttke","Ganz solide","24. November 2019","An sich ein schönes und tolles Telefon. Nur das man mittlerweile mit seiner IP Nr. Telefonieren muss übers Internet ist für mich der letzte Rotz. Sobald das Internet spinnt funktioniert das Telefon auch nicht. Festnetz Anschluss ist definitiv besser. Aber im großen und ganzen ist das Telefon ok und die Sprachqualität ist auch sehr überragend.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582057396-3928","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Nutzer","Ganz o.k., aber .......","7. November 2018","zu viele Gimmicks, die keiner im normalen Bürobetrieb benötigt (Nachrichten, Deutschlandfunk, Bild, etc.).

Akkulaufzeit unterirdisch; Akku war bereits trotz vorheriger 24 Stunden Ladezeit bereits nach ca. 8 Stunden im Standby-Betrieb und ca. 10 Minuten Telefonieren komplett leer. Ist natürlich ärgerlich, wenn Kunde anruft und
keiner merkt es, da das FritzFon C5 sich ein ""Schlächen"" gönnt.

Reichweite auf Niveau anderer preiswerterer Schnurlostelefone.

Koppelung mit FRITZ!Box 7490 klappte einwandfrei.

Da Verkauf und Versand durch amazon keine Kontaktbutton vorhanden um zu reklamieren; nur Button mit link zum Hersteller (iwenn ich einen Pkw kaufe und Problem habe, wende ich mich an den Verkäufer des Pkw und nicht an den Hersteller) oder Rücksendung vorhanden; Rücksendung dürfte allerdings schwierig werden, da Verpackung bereits entsorgt. Also immer fleißig Laden, um erreichbar zu sein.","1,0 von 5 Sternen","","","null"
"1582057411-3987","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","SL","Design ist gut, aber Tastatur funktioniert nicht","29. Juli 2018","Der Vorteil an dem Telefon ist, dass es zusammen mit einer Fritz Box überall in der Wohnung positioniert werden kann. Das Design ist schlank und ansprechend.
Leider hat das Steuerkreuz nicht zuverlässig funktioniert - besonders beim aufwärts steuern im Menü. Es wurde ein merkliches Klick Signal als Feddback gegeben, aber der Menübalken hat sich nicht bewegt. Und wenn man eine Drückposition gefunden hat, hat das leider nicht bedeutet, dass es bei Druck auf die gleiche Stelle immer funktioniert hat.
Zusätzlich sind die Klingeltöne nicht ansprechend, aber das ist eher nebensächlich. Man gewöhnt sich ja einiges.
Also in dieser Qualität ist das Telefon nicht zu empfehlen. Leider merkt man das ja erst wenn es in Betrieb genommen wurde.

Ich kann auch nicht beurteilen, ob es ein Design- oder Produktionsfehler ist. Ich habe kein Austauschgerät bestellt.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews","null"
"1582057413-4001","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Benutzer","Nach 4 Monaten Plastik gerissen","20. August 2019","War ich zu Beginn noch zufrieden mit dem Telefon, bin ich nach 4 Monaten nur noch enttäuscht. Die Plastikummantelung ist ohne erkennbaren Grund an mehreren Stellen gerissen und an einer Stelle ist ein Teil einfach abgebrochen. So ist das Telefon nicht mehr nutzbar.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=critical&pageNumber=8&reviewerType=all_reviews","null"
"1582057416-4012","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","kenny 2609","Schade","22. September 2019","Display ist blind und hat einen riß. Habe mich darüber sehr geärgert da es sonst ein gutes Telefon ist","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582057416-4004","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Prima Funktionen aber schwache Empfangsleistung","1. März 2018","Das C5 bietet alle Funktionen die man braucht (oder auch nicht, wer hört schon Internetradio übers Telefon...) und funktioniert sehr gut im Zusammenspiel mit meiner Fritz!Box 7490.
Leider ist die Empfangsleistung -wie hier schon mehrfach beklagt- wirklich schwach und stark schwankend. Zwischen Vollausschlag und kein Empfang schwankt die Feldstärke, ohne dass jemand im Haus ist oder das C5 bewegt wird (steht in der Ladeschale).
Auch das Abschalten aller ECO Funktionen im Router bzw. Im C5 hilft nicht weiter. Keines meiner übrigen 4 Mobilteile von Siemens, Gigaset oder das 15 EUR Panasonic vom Wühltisch zeigen ein ähnliches Verhalten.
Mit einer vernünftigen Empfangsleistung wären es 5 Sterne wert, so wohlwollend nur 2 ...","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=critical&pageNumber=9&reviewerType=all_reviews","null"
"1582057396-3927","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","G.R.","Leider nicht wie erwartet gut","4. März 2019","Auf Grund einer Empfehlung haben wir gleich drei Fritzfon gekauft. Die Optik ist scheußlich, aber das wussten wir. Es liegt nicht sehr angenehm in der Hand. Die Tonqualität ist im Vergleich zu unserem 20 Jahre alten Siemens Gigaset unglaublich schlecht. Es knackst und kracht und klingt blechern - wo soll hier der HD-Klang sein. Alle updates wurden installiert - besser wurde es nur gering. Der Akku ist schwach und man muss sich durch das Internet hangeln, damit alles Stromfressende abschaltet. Der Rest in Zusammenarbeit mit der Fritzbox 7490 ist gut. Kaufen würden wir dieses schlechte Produkt aber nicht mehr. Da gibt es besser Herstelle für dieses Geld.","1,0 von 5 Sternen","","","null"
"1582057411-3989","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Völlig in Ordnung","29. Juli 2019","Qualität von AVM lässt langsam nach, das ist bereits das dritte gerät innerhalb von drei Jahren, dank Amazon wird es wenigstens immer ausgetauscht. Mein altes FritzFon hat über 10 Jahre gehalten.  Lieferung schnell","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews","null"
"1582057428-4013","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Alekz","Verarbeitung mangelhaft","19. November 2019","Nach etwas über zwei Jahren schon Risse am Gehäuse. Das Gerät wurde sehr selten benutzt. Stand meistens in der Ladestation und spielte nur Radio ab und dann sowas.
Vielleicht sind die Risse auch schon früher entstanden. Ist mir halt nie aufgefallen, da selten benutzt.
Software ist auch nicht ganz ausgereift. Wenn man die Steckdosenleiste ausschaltet und das Radio oder Podcast im Akkubetrieb hört, pausiert man das Radio/Podcast, ist der Akku nach zwei, drei Stunden alle.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/AVM-DECT-Komforttelefon-Komfortdienste-Box-Funktionen-deutschsprachige-Schwarz/product-reviews/B01BBWWFB2/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews","null"
