web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582057266-3660","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Simon","Decent, but short lifespan","18. Oktober 2019","Happily used these headphones for 6 months without a problem. Then faced static & loose contact and now only the right ear is still working. If you want something that lasts, spending a bit more is worth it.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=critical&pageNumber=13&reviewerType=all_reviews","null"
"1582057275-3708","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","ahmad abdallah","Kaputt nach 2 Monaten","22. Juni 2019","Nach 2 monaten sind beide kopfhörer einfach so kaputt gegangen. Es gibt keine äußerlichen Schäden. Abgesehen savon ist der Ton sehr Gut, was mir jetzt nichts mehr bringt.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=critical&pageNumber=17&reviewerType=all_reviews","null"
"1582057277-3709","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","name","Rechter Kopfhörer schon wieder kaputt","10. Februar 2020","Alles okay für den Preis, jedoch finde ich es extrem nervig, dass zum wiederholten Mal der rechte Kopfhörer nach gut einem Jahr kaputt gegangen ist","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=critical&pageNumber=18&reviewerType=all_reviews","null"
"1582057311-3858","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Aleyna Albuz","Eigendlich ganz gut","27. November 2017","Ich find die Kopfhörer eigendlich ganz gut für den Preis doch sie sind nicht so bequem. Ich finde auch schade, dass man die Lautstärke nicht vom Mikrofon steuern kann.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&filterByStar=critical&pageNumber=32&reviewerType=all_reviews","null"
"1582057273-3691","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Defekt nach einem halben Jahr!","24. Oktober 2019","Wie auch schon öfter hier erwähnt wurde, erlitten auch meine Kopfhörer einen Wackelkontakt. Echt schade, weil eigentlich ist der Ton gut.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=critical&pageNumber=16&reviewerType=all_reviews","null"
"1582057250-3589","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Sascha","Guter Klang, jedoch nur für kurze Zeit.","16. November 2019","Wir haben die Kopfhörer aufgrund der Rezessionen gekauft. Sie liegen gut im Ohr und haben für den Preis einen sehr guten Klang. Leider aber ist der Schalter jetzt nach kurzer Zeit defekt und löst wilkürlich die aktivierung des kleinen Schalters beim Tragen hervor ohne den Schalter selbst zu berühren. Das Rückgaberecht ist nun seit 10 Tagen leider abgelaufen. Das nächste Mal werde ich wieder etwas mehr drauflegen und bei anderen Namhaften Herstellern investieren.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=critical&pageNumber=6&reviewerType=all_reviews","null"
"1582057282-3730","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Kaputt","14. November 2019","Leider sind sie nach gerade mal 2,5 Monaten kaputt. Nur noch die linke Seite funktioniert. Und das trotz des fast schon zärtlichen Umgangs.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=critical&pageNumber=20&reviewerType=all_reviews","null"
"1582057333-3893","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Nikolas Hasse","Nach 2 Tagen kaputt!!","26. März 2019","Eigentlich ganz gute Soundqualität für den Preis. Aber das die Kopfhörer bzw. eine Seite nach 2 Tagen schon keinen Ton mehr ausgibt darf nicht sein. Ich bin maßlos enttäuscht.
Beim Sport fallen die Hörer zudem ständig heraus, da sie überhaupt keinen Halt im Ohr haben.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&filterByStar=critical&pageNumber=36&reviewerType=all_reviews","null"
"1582057247-3584","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Florian","Leider auch bei mir ein Kabelbruch...","10. Dezember 2018","Wie so viele war ich von den Kopfhörern eigentlich begeistert. Auf einmal war dann aber der rechte Kopfhörer kaputt.... Klar die Kopfhörer haben keine 10€ gekostet aber trotzdem schade das sie kaputt gegangen sind. Ansonsten war ich doch sehr zufrieden damit.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=critical&pageNumber=5&reviewerType=all_reviews","null"
"1582057298-3799","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Ronsen",".","12. Februar 2020","Kopfhören haben guten Sound für den Preis! Aber das Microfon taugt garnichts !","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/product-reviews/B01MG62Z5M/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=critical&pageNumber=27&reviewerType=all_reviews","null"
