web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582057758-4104","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Matrix2050","Ganz ok","2. Mai 2015","Da mein altes Telefon leider nach 6 Jahren kaputt ging, brauchte ich ein neues. Da ich eh nicht so viel telefoniere, musste es auch kein besonders teures Gerät sein.

Das Gigaset A415 ist kompakt und liegt gut in der Hand. Die Akkus sind schnell aufgeladen und halten für meinen Gebrauch sehr lange. Das Display ist gut abzulesen (auch im dunkeln) und es bietet genug Einstellmöglichkeiten.

Ich betreibe es an einer Fritzbox 6490 Cable (von Unitymedia) im DECT Modus. Das heißt, das es nicht mit der Basis verbunden ist, sondern direkt mit der Fritzbox. Die Basis nehme ich dann nur zum aufladen.

Einziger Negativpunkt bisher, ist die Freisprechfunktion. Wenn ich einen Anruf annehme, ist automatisch die Freisprechfunktion an, wodurch ich nochmal auf abheben drücken muss, um diese wieder auszuschalten. Warum das so gemacht ist, weiß ich nicht, aber anders rum wäre es viel praktischer.

Alles in allem, ist es ein gutes Telefon und in der Preisklasse zu empfehlen. Wer natürlich mehr Features will, muss mehr zahlen :)

Marius","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=critical&pageNumber=3&reviewerType=all_reviews"
"1582057777-4179","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Anja","Kurze Akkulaufzeit","21. September 2019","So einfache Bedienung leider das Akku hält nicht lange","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057796-4198","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Brennecke Carlos","Gigaset A415","30. Oktober 2018","Äuserst kompliziert . Schwer zu gebrauchen. Billiges Mist","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews"
"1582057761-4117","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","J. G.","funktionierendes preisgünstiges Telefon","18. Mai 2019","am Telefon, für diesen Preis, kann man erstmal nichts groß aussetzen. Mit der Menüführung sollte jeder klar kommen. Kritikpunkte sind: Akkulaufzeit (hier wurde in anderen Rezensionen schon ausreichend erläutert) und Ladestation brummt hörbar. Habe ich bisher noch bei keiner Station gehört. Man hat gleich ein ungutes Gefühl.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=critical&pageNumber=4&reviewerType=all_reviews"
"1582057771-4156","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","K. Lux","Das Telefon ist für den holländischen Markt !","12. März 2019","Weiß nicht, wie ich die deutsche Sprache einstellen soll. Die beiliegende Beschreibung ist holländisch. Vergleiche ich sie mit der deutschen Betriebsanleitung im Internet, so komme ich auf keine Sprachauswahl.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=critical&pageNumber=8&reviewerType=all_reviews"
"1582057768-4147","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","G-Unit","Premium ?","11. November 2017","Knapp 4 Jahre alt und schon der totalausfall von einem der 2 Geräte ... von Premium kann man da denke ich nicht sprechen .. das andere Gerät ist davon auch nicht weit entfernt. Kundenservice von Gigaset auch miserabel (in der Garantiezeit) ..da wird nur versucht den Kunden abzuwimmeln","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews"
"1582057803-4228","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Arnhild Ohr","Gigaset A 415 ist nicht schlecht","10. Februar 2016","Gigaset A 415 fällt etwas globig aus.
Die Handhabung ist ok. Die Betriebsanleitung ist nicht gut gegliedert und nicht gut erklärt","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=critical&pageNumber=15&reviewerType=all_reviews"
"1582057777-4175","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Frank Schüler","Zurück geschickt","25. Januar 2020","Schon benutzt gewesen. Batterien fehlten. Zurück geschickt.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057766-4142","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Sabrina, 35J.","Basisstation brummt massiv","20. November 2019","Die Installation  war extrem einfach und die Handhabung ist auch klasse. Doch leider brummt die Basisstation massiv, von daher geht es leider sofort zurück.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=critical&pageNumber=6&reviewerType=all_reviews"
"1582057777-4180","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Sunni","👍🏻","11. Januar 2019","Akkus hielten nicht sehr lange ansonsten sehr gutes Produkt","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057756-4099","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Marco","So wie der Preis auch der Rest....relativ billig","26. Juni 2018","Es wirkt alles sehr billig und auch die funktionen sind nicht so wie ich es mir gewünscht habe. Habe mich auch vergriffen da diese Version kein AB hat.
Zum Glück nehme ich dieses Telefon nie her da ich eine Flat auf dem Hany habe, es ist nur für Anrufe von meiner Oma und meiner Mutter gedacht.
Beim nächstem mal lieber ein wenig mehr ausgeben und was besseres bekommen.

Vorteil bei diesem Telefon, es läuft mit normalen AAA Baretien","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gigaset-Schnurloses-Anrufbeantworter-Freisprechfunktion-Bedienung-schwarz/product-reviews/B00EDQ4IMS/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews"
